"word","mRT","accuracy"
"Bunyan",883.212121212121,0.545454545454545
"Burbank",790.676470588235,0.911764705882353
"Burma",864.764705882353,0.852941176470588
"Burmese",785.529411764706,0.676470588235294
"Burt",714.848484848485,0.878787878787879
"Bushman",801.575757575758,0.848484848484849
"Byron",780.029411764706,0.852941176470588
"Byzantine",782.264705882353,0.588235294117647
"Byzantium",921.705882352941,0.588235294117647
"Cadillac",714.741935483871,0.967741935483871
"Cadillacs",916.060606060606,0.878787878787879
"Caesar",738.545454545455,1
"Caiman",801.28125,0.15625
"Cain",695.606060606061,0.818181818181818
"Cairo",730.870967741935,0.903225806451613
"Calcutta",781.818181818182,0.606060606060606
"California",701.088235294118,1
"California's",745.090909090909,1
"Californians",851,0.941176470588235
"Caligula",854,0.3125
"Calvary",663.69696969697,1
"Calvin",655.75,1
"Calvinism",859.15625,0.71875
"Calvinist",826.363636363636,0.818181818181818
"Cambodia",776.060606060606,0.878787878787879
"Cambodia's",901.870967741935,0.838709677419355
"Cambodian",898.741935483871,0.870967741935484
"Cambridge",768.342857142857,0.971428571428571
"Camelot",684.606060606061,0.939393939393939
"Canada",573.939393939394,1
"Canada's",669.969696969697,1
"Canadian",725.242424242424,0.939393939393939
"Canadian's",709.294117647059,1
"Canadians",697.142857142857,1
"Canterbury",885.25,0.96875
"Cantonese",893.46875,0.71875
"Capistrano",905.25,0.34375
"Capitol",690.3125,0.96875
"Capitoline",1033.03333333333,0.2
"Capricorn",752.484848484848,0.96969696969697
"Caracas",868.147058823529,0.764705882352941
"Caribbean",697.088235294118,0.970588235294118
"Carl",577.0625,1
"Carmelite",948.58064516129,0.419354838709677
"Carmen",740.705882352941,0.911764705882353
"Carnegie",786.558823529412,0.764705882352941
"Caroline",756,1
"Carter",647.852941176471,1
"Carters",788.866666666667,0.933333333333333
"Cartesian",997.903225806452,0.67741935483871
"Carthage",853.58064516129,0.645161290322581
"Casanova",839.235294117647,0.852941176470588
"Cassiopeia",917.225806451613,0.354838709677419
"Castro",747.636363636364,0.909090909090909
"Castro's",699.911764705882,0.911764705882353
"Castroism",961.515151515152,0.242424242424242
"Catherine",663.323529411765,0.970588235294118
"Catherine's",690.90625,1
"Catholic",635.971428571429,1
"Catholicism",961.545454545455,0.939393939393939
"Catholics",661.133333333333,1
"Cathy",674.030303030303,1
"Caucasia",928.354838709677,0.451612903225806
"Caucasian",784.181818181818,0.909090909090909
"Caucasus",995.225806451613,0.645161290322581
"Cecil",739.428571428571,0.885714285714286
"Cecilia",840.34375,0.84375
"Celsius",844.125,0.90625
"Celt",786.625,0.65625
"Celtic",664.441176470588,1
"Chablis",875.833333333333,0.4
"Chad",626.1875,0.9375
"Charles",693.515151515152,0.96969696969697
"Charles's",823.903225806452,0.870967741935484
"Charleston",787.46875,0.96875
"Charlie",667.424242424242,0.96969696969697
"Charlotte",704.294117647059,0.970588235294118
"Chattanooga",872.375,0.8125
"Chaucer",751.032258064516,0.774193548387097
"Cherokee",682.969696969697,0.939393939393939
"Cherokees",726.483870967742,1
"Chesapeake",961.903225806452,0.709677419354839
"Cheshire",854.545454545455,0.515151515151515
"Chevrolet",765.176470588235,1
"Chevy",643.96875,0.96875
"Cheyenne",708.6875,0.875
"Cheyennes",861.264705882353,0.617647058823529
"Chianti",921.939393939394,0.333333333333333
"Chicago",630.545454545455,1
"Chicago's",633.823529411765,1
"Chicano",825.878787878788,0.515151515151515
"Chihuahua",923.6,0.7
"Chile",682.8125,0.9375
"Chimera",859.911764705882,0.352941176470588
"China",605.058823529412,1
"China's",619.181818181818,0.96969696969697
"Chinaman",1041.25806451613,0.774193548387097
"Chinatown",723.121212121212,0.939393939393939
"Chinese",656.433333333333,0.966666666666667
"Chinook",734.774193548387,0.387096774193548
"Chippendale",976.766666666667,0.766666666666667
"Choctaw",876.161290322581,0.290322580645161
